PRESIDENT,,,,"€240,716",,,,,,
,,,,,,,,,,
VICE PRESIDENT,,,,"€184,171",,,,,,
,,,,,,,,,,
ACADEMIC,,,,,,,,,,
FULL PROFESSOR (FORMERLY PROFESSOR),,1,,"€140,068",,,,,,
,,2,,"€148,055",,,,,,
,,3,,"€156,042",,,,,,
,,4,,"€164,028",,,,,,
,,5,,"€172,016",,,,,,
,,6,,"€177,078",,,,,,
,,,,,,,,,,
PROFESSOR (FORMERLY ASSOCIATE PROFESSOR),,1,,"€101,447",,,,,,
,,2,,"€108,276",,,,,,
,,3,,"€115,107",,,,,,
,,4,,"€121,935",,,,,,
,,5,,"€128,770",,,,,,
,,6,,"€135,598",,,,,,
,,,,,,,,,,
ASSOCIATE PROFESSOR A (FORMERLY SENIOR LECTURER),,1,,"€87,548",,,,,,
,,2,,"€91,018",,,,,,
,,3,,"€94,492",,,,,,
,,4,,"€97,988",,,,,,
,,5,,"€101,461",,,,,,
,,6,,"€104,948",,,,,,
,,7,,"€108,430",,,,,,
,,8,,"€111,916",,,,,,
,,9,,"€115,395",,,,,,
ASSOCIATE PROFESSOR B (FORMERLY LECTURER),,1,,,"€62,069",,,,,
,,2,,,"€73,093",,,,,
,,3,,,"€77,006",,,,,
,,4,,,"€79,703",,,,,
,,5,,,"€83,634",,,,,
,,6,,,"€87,604",,,,,
,,7,,,"€91,563",,,,,
,,8,,,"€95,514",,,,,
,,9,,,"€99,471",,,,,
,,,,,,,,,,
ASSISTANT PROFESSOR (FORMERLY LECTURER BELOW THE BAR),,1,,,"€46,955",,,,,
,,2,,,"€49,543",,,,,
,,3,,,"€51,676",,,,,
,,4,,,"€53,644",,,,,
,,5,,,"€55,689",,,,,
,,6,,,"€57,323",,,,,
,,7,,,"€58,990",,,,,
,,8,,,"€60,654",,,,,
,,9,,,"€62,314",,,,,
,,10,,,"€63,965",,,,,
,,,,,,,,,,
TEACHING ASSISTANT,,1,,,"€37,010",,,,,
,,2,,,"€40,061",,,,,
ADIMINISTRATIVE,,,,,,,,,,
,SENIOR ADMINISTRATIVE OFFICER III,,1,,,"€106,800",,,,
,,,2,,,"€113,990",,,,
,,,3,,,"€121,181",,,,
,,,4,,,"€128,369",,,,
,,,5,,,"€135,565",,,,
,,,6,,,"€142,758",,,,
,,,,,,,,,,
,SENIOR ADMINISTRATIVE OFFICER II,,1,,,"€94,941",,,,
,,,2,,,"€98,703",,,,
,,,3,,,"€102,487",,,,
,,,4,,,"€106,270",,,,
,,,5,,,"€110,030",,,,
,,,6,,,"€113,810",,,,
,,,7,,,"€117,589",,,,
,,,8,,,"€121,368",,,,
,,,9,,,"€125,140",,,,
,,,,,,,,,,
,SENIOR ADMINISTRATIVE OFFICER I,,1,,,"€67,132",,,,
,,,2,,,"€69,712",,,,
,,,3,,,"€72,480",,,,
,,,4,,,"€75,725",,,,
,,,5,,,"€79,088",,,,
,,,6,,,"€82,103",,,,
,,,7,,,"€86,389",,,,
,,,8,,,"€90,697",,,,
,,,9,,,"€95,004",,,,
,,,10,,,"€99,296",,,,
,,,11,,,"€103,583",,,,
,,,12,,,"€107,875",,,,
SENIOR EXECUTIVE ADMINISTRATOR,,1,,,"€58,657",,,,,
,,2,,,"€60,174",,,,,
,,3,,,"€61,704",,,,,
,,4,,,"€63,240",,,,,
,,5,,,"€64,776",,,,,
,,6,,,"€66,317",,,,,
,,7,,,"€68,510",,,,,
,,8,,,"€72,779",,,,,
,,9,,,"€77,291",,,,,
,,10,,,"€79,691",,,,,
,,11,,,"€83,397",,,,,
,,,,,,,,,,
EXECUTIVE ADMINISTRATOR,,1,,,"€44,752",,,,,
,,2,,,"€47,050",,,,,
,,3,,,"€49,360",,,,,
,,4,,,"€51,268",,,,,
,,5,,,"€53,218",,,,,
,,6,,,"€55,306",,,,,
,,7,,,"€57,462",,,,,
,,8,,,"€59,557",,,,,
,,9,,,"€61,263",,,,,
,,10,,,"€62,840",,,,,
,,11,,,"€64,409",,,,,
,,,,,,,,,,
SENIOR ADMINISTRATOR,,1,,,"€39,893",,,,,
,,2,,,"€40,785",,,,,
,,3,,,"€42,037",,,,,
,,4,,,"€43,282",,,,,
,,5,,,"€44,546",,,,,
,,6,,,"€45,799",,,,,
,,7,,,"€47,069",,,,,
,,8,,,"€48,336",,,,,
,,9,,,"€49,613",,,,,
,,10,,,"€50,660",,,,,
,,11,,,"€51,944",,,,,
,,12,,,"€53,265",,,,,
ADMINISTRATOR,,1,,,"€26,572",,,,,
,,2,,,"€27,495",,,,,
,,3,,,"€28,629",,,,,
,,4,,,"€29,397",,,,,
,,5,,,"€30,060",,,,,
,,6,,,"€30,830",,,,,
,,7,,,"€31,616",,,,,
,,8,,,"€32,491",,,,,
,,9,,,"€33,224",,,,,
,,10,,,"€34,378",,,,,
,,11,,,"€35,541",,,,,
,,12,,,"€36,715",,,,,
,,13,,,"€37,403",,,,,
,,14,,,"€38,396",,,,,
,,15,,,"€39,212",,,,,
,,16,,,"€39,926",,,,,
,,17,,,"€40,912",,,,,
,,18,,,"€41,892",,,,,
EDUCATION PROCUREMENT SERVICES,,,,,,,,,,
EPS PORTFOLIO MANAGER,,1,,,"€86,389",,,,,
,,2,,,"€90,698",,,,,
,,3,,,"€95,005",,,,,
,,4,,,"€99,296",,,,,
,,5,,,"€103,583",,,,,
,,6,,,"€107,874",,,,,
,,,,,,,,,,
